post_id,timestamp,platform,post_type,content,sentiment,likes,shares,comments,reach,impressions,engagement_rate,date,hour,day_of_week,sentiment_score
1,2024-01-12 17:06:00,Twitter,Text,Fantastic experience! Thank you,Positive,1308,66,82,27779,50013,5.24,2024-01-12,17,Friday,1
2,2024-03-04 23:11:00,TikTok,Text,Best purchase ever! Highly recommend,Positive,559,191,99,23360,99073,3.63,2024-03-04,23,Monday,1
3,2024-02-10 04:40:00,Facebook,Text,Great quality! Will buy again,Positive,1251,174,135,35899,89161,4.35,2024-02-10,4,Saturday,1
4,2024-09-02 00:46:00,Twitter,Image,Terrible customer service,Negative,413,240,155,2897,59604,27.89,2024-09-02,0,Monday,-1
5,2024-01-06 12:29:00,Instagram,Image,Disappointed with the product,Negative,128,53,191,27828,93234,1.34,2024-01-06,12,Saturday,-1
6,2024-02-10 17:19:00,TikTok,Image,Best purchase ever! Highly recommend,Positive,412,253,116,40738,95596,1.92,2024-02-10,17,Saturday,1
7,2024-04-21 08:51:00,Facebook,Image,Outstanding service! Five stars,Positive,69,94,58,7845,39377,2.82,2024-04-21,8,Sunday,1
8,2024-02-29 02:44:00,Twitter,Video,Testing this product,Neutral,167,110,101,43365,63154,0.87,2024-02-29,2,Thursday,0
9,2024-09-06 19:10:00,Facebook,Text,Love this product! #amazing,Positive,430,171,114,18274,47705,3.91,2024-09-06,19,Friday,1
10,2024-03-17 11:23:00,Instagram,Image,Excellent service! Very satisfied,Positive,523,309,136,13522,71784,7.16,2024-03-17,11,Sunday,1
11,2024-04-15 23:09:00,Twitter,Link,Best purchase ever! Highly recommend,Positive,466,211,143,1760,93159,46.59,2024-04-15,23,Monday,1
12,2024-08-27 08:36:00,TikTok,Text,Great quality! Will buy again,Positive,210,356,84,38145,24184,1.7,2024-08-27,8,Tuesday,1
13,2024-04-09 07:10:00,Instagram,Text,Amazing product! Exceeded expectations,Positive,1228,37,45,15000,59651,8.73,2024-04-09,7,Tuesday,1
14,2024-04-13 06:46:00,Twitter,Text,Superb quality! Very happy,Positive,1459,148,135,30132,41083,5.78,2024-04-13,6,Saturday,1
15,2024-04-13 15:44:00,Instagram,Video,Bad service. Would not recommend,Negative,104,4,155,2673,95240,9.84,2024-04-13,15,Saturday,-1
16,2024-01-01 20:42:00,LinkedIn,Link,Worst purchase ever. Total waste,Negative,53,86,72,3251,26034,6.49,2024-01-01,20,Monday,-1
17,2024-05-20 17:56:00,LinkedIn,Text,Poor quality. Not worth the money,Negative,970,58,29,42449,52865,2.49,2024-05-20,17,Monday,-1
18,2024-07-22 19:15:00,Instagram,Link,Superb quality! Very happy,Positive,316,13,123,1081,11135,41.81,2024-07-22,19,Monday,1
19,2024-06-01 04:19:00,Twitter,Text,"It's okay, nothing special",Neutral,217,65,145,260,28873,164.23,2024-06-01,4,Saturday,0
20,2024-01-31 10:51:00,TikTok,Image,Fantastic experience! Thank you,Positive,804,9,83,12812,39318,6.99,2024-01-31,10,Wednesday,1
21,2024-04-13 20:27:00,Twitter,Text,Average experience,Neutral,437,144,136,21362,65633,3.36,2024-04-13,20,Saturday,0
22,2024-09-21 22:58:00,Twitter,Video,Love this product! #amazing,Positive,1357,295,106,11979,99105,14.68,2024-09-21,22,Saturday,1
23,2024-10-09 19:23:00,LinkedIn,Video,Product as described,Neutral,357,39,126,16362,93351,3.19,2024-10-09,19,Wednesday,0
24,2024-06-23 15:54:00,Twitter,Video,Fantastic experience! Thank you,Positive,465,46,43,33123,61643,1.67,2024-06-23,15,Sunday,1
25,2024-08-17 22:09:00,Facebook,Video,Standard quality,Neutral,84,23,81,21103,40353,0.89,2024-08-17,22,Saturday,0
26,2024-06-22 02:18:00,Instagram,Text,Outstanding service! Five stars,Positive,63,201,87,42979,66437,0.82,2024-06-22,2,Saturday,1
27,2024-02-28 15:28:00,Facebook,Image,Product arrived today,Neutral,218,287,116,29362,54522,2.11,2024-02-28,15,Wednesday,0
28,2024-04-23 03:28:00,Twitter,Text,Best purchase ever! Highly recommend,Positive,183,167,42,23152,58983,1.69,2024-04-23,3,Tuesday,1
29,2024-01-04 19:20:00,LinkedIn,Text,Product arrived today,Neutral,231,126,9,36229,2244,1.01,2024-01-04,19,Thursday,0
30,2024-01-15 05:57:00,TikTok,Text,Amazing product! Exceeded expectations,Positive,237,256,47,6292,59672,8.58,2024-01-15,5,Monday,1
31,2024-07-16 19:06:00,TikTok,Text,Amazing product! Exceeded expectations,Positive,370,13,25,48959,19141,0.83,2024-07-16,19,Tuesday,1
32,2024-04-13 05:46:00,Facebook,Link,Worst purchase ever. Total waste,Negative,618,245,22,34561,61688,2.56,2024-04-13,5,Saturday,-1
33,2024-03-12 05:04:00,Instagram,Image,Fantastic experience! Thank you,Positive,742,23,86,19541,87240,4.35,2024-03-12,5,Tuesday,1
34,2024-09-01 23:35:00,Twitter,Image,Excellent service! Very satisfied,Positive,909,172,61,19487,51114,5.86,2024-09-01,23,Sunday,1
35,2024-07-26 02:03:00,TikTok,Link,Outstanding service! Five stars,Positive,1011,349,93,26173,15947,5.55,2024-07-26,2,Friday,1
36,2024-02-16 03:46:00,TikTok,Video,Average experience,Neutral,927,227,87,46337,21188,2.68,2024-02-16,3,Friday,0
37,2024-10-12 22:21:00,TikTok,Image,"It's okay, nothing special",Neutral,929,179,10,25524,24010,4.38,2024-10-12,22,Saturday,0
38,2024-01-22 17:23:00,TikTok,Video,Outstanding service! Five stars,Positive,607,143,76,37306,57978,2.21,2024-01-22,17,Monday,1
39,2024-08-23 04:07:00,Instagram,Image,Best purchase ever! Highly recommend,Positive,756,105,60,34866,55599,2.64,2024-08-23,4,Friday,1
40,2024-10-03 11:05:00,Instagram,Link,Love this product! #amazing,Positive,1146,323,96,20428,83883,7.66,2024-10-03,11,Thursday,1
41,2024-08-05 18:13:00,Facebook,Image,Low quality. Not satisfied,Negative,505,280,158,42008,65694,2.24,2024-08-05,18,Monday,-1
42,2024-05-11 14:49:00,Facebook,Text,Terrible experience. Very disappointed,Negative,399,7,19,19910,92456,2.13,2024-05-11,14,Saturday,-1
43,2024-02-22 13:47:00,Instagram,Image,Fantastic experience! Thank you,Positive,1182,280,101,19362,76142,8.07,2024-02-22,13,Thursday,1
44,2024-10-07 20:00:00,TikTok,Video,Best purchase ever! Highly recommend,Positive,1498,312,110,42875,24098,4.48,2024-10-07,20,Monday,1
